Licensee,Type of License,Address,City/Town,Phone,Capacity,Indoor,Patio,On Tap?
PLACE FOR STEAK & SEAFOOD REST.,Restaurant,638 SHEPPARD AVE. W.	 	NORTH YORK	 	ON M3H 2S1,NORTH YORK,416-633-7504,73,73,0,
PRESTIGE RESTAURANT,Restaurant/Club,"4544 DUFFERIN ST                         UNIT #2, 3, 4	 	NORTH YORK	 	ON M3H 5X2",NORTH YORK,416-736-1668,369,369,0,
RACK & CUE BILLIARD LOUNGE,Restaurant,1395 LAWRENCE AVE W                      UNIT B	 	NORTH YORK	 	ON M6L 1A4,NORTH YORK,416-245-9158,149,149,0,
RAGING BULL RESTAURANT,Restaurant,789 ARROW ROAD                           UNIT 1	 	NORTH YORK	 	ON M9M 2L4,NORTH YORK,416-742-3307,0,0,0,
RAINBOW JAPANESE RESTAURANT,Restaurant,3022 BATHURST ST	 	NORTH YORK	 	ON M6B 3B6,NORTH YORK,416-919-2791,72,72,0,
RAMESES TEMPLE SHRINE CLUB,Restaurant,3100 KEELE ST	 	NORTH YORK	 	ON M3M 2H4,NORTH YORK,416-633-6317,1790,1790,0,
RED LOBSTER RESTAURANT,Restaurant,3200 DUFFERIN ST	 	NORTH YORK	 	ON M6A 2T2,NORTH YORK,416-785-7930,312,312,0,
RICE PAPER VIETHAI CUISINE,Restaurant,101 RAVEL ROAD	 	NORTH YORK	 	ON M2H 1T1,NORTH YORK,416-498-9800,329,329,0,
RICHTREE MARKET RESTAURANTS BAYVIEW,Restaurant,305 YORK MILLS ROAD                      UNIT 0019	 	NORTH YORK	 	ON M2L 1L3,NORTH YORK,416-445-1555,190,190,0,
RISTORANTE BOCCACCIO,Restaurant,901 LAWRENCE AVE W	 	NORTH YORK	 	ON M6A 1C3,NORTH YORK,416-789-7011,770,770,0,
ROBERT RESTAURANT,Restaurant,750 OAKDALE ROAD                         UNIT 35 & 36	 	NORTH YORK	 	ON M3N 2Z4,NORTH YORK,416-244-4393,97,97,0,
ROOKIES SOCIAL HOUSE,Restaurant,4400 DUFFERIN ST	 	NORTH YORK	 	ON M3H 6A8,NORTH YORK,416-736-0082,158,158,0,
ROSA'S PLACE RESTAURANT AND TAVERN,Restaurant,2201 FINCH AVE. W.                       UNIT #25	 	NORTH YORK	 	ON M9M 2Y9,NORTH YORK,416-745-2222,230,230,0,
ROSEMARY & THYME FAMILY RESTAURANT,Restaurant,2798 VICTORIA  PARK AVE	 	NORTH YORK	 	ON M2J 4A8,NORTH YORK,416-499-0880,90,90,0,
ROSSINI RESTAURANT LTD.,Restaurant,1988 AVENUE ROAD	 	NORTH YORK	 	ON M5M 4A4,NORTH YORK,416-481-1188,276,254,22,
ROYAL CANADIAN LEGION - BRANCH 527,Restaurant,948 SHEPPARD AVE. W	 	NORTH YORK	 	ON M3H 2T6,NORTH YORK,416-633-0345,333,333,0,
ROYAL CANADIAN LEGION - BRANCH 66,Restaurant,6 SPRING GARDEN AVE	 	NORTH YORK	 	ON M2N 3G2,NORTH YORK,416-222-1853,370,370,0,
S.S. CURRY & ROTI BAR & RESTAURANT,Restaurant,1546 JANE ST	 	NORTH YORK	 	ON M9N 2R5,NORTH YORK,416-267-5244,46,46,0,
SAFARI BAR AND GRILL,Restaurant,1749 AVENUE ROAD	 	NORTH YORK	 	ON M5M 3Y8,NORTH YORK,416-787-6584,261,149,112,
SAKURA,Restaurant,4700 KEELE ST                            UNIT 12 & 13	 	NORTH YORK	 	ON M3J 1P3,NORTH YORK,416-736-5471,92,92,0,
SAPPORO SUSHI,Restaurant,5469 YONGE ST.	 	NORTH YORK	 	ON M2N 5S1,NORTH YORK,416-229-6191,58,58,0,
SEA HI CHOP SUEY TAVERN,Restaurant,3645 BATHURST ST	 	NORTH YORK	 	ON M6A 2E4,NORTH YORK,416-789-1258,140,140,0,
SHANHAI CHINESE RESTAURANT,Restaurant,5451 YONGE ST	 	NORTH YORK	 	ON M2N 5S1,NORTH YORK,647-430-7560,30,30,0,
SHOELESS JOE'S,Restaurant,3200 DUFFERIN ST	 	NORTH YORK	 	ON M6A 3B2,NORTH YORK,416-787-7781,314,265,49,
SHOOTERS SNOOKER & SPORTS CLUB,Restaurant,1448 LAWRENCE AVE E                      UNIT 21	 	NORTH YORK	 	ON M4A 2V6,NORTH YORK,416-750-7787,493,493,0,
SHOUT,Restaurant,5600 YONGE ST                            BASEMENT	 	NORTH YORK	 	ON M2N 5S2,NORTH YORK,416-300-3559,40,40,0,
SIERRA CALIFORNIA GRILL,Restaurant,2901 BAYVIEW AVE	 	NORTH YORK	 	ON M2K 1E6,NORTH YORK,416-224-1700,351,283,68,
SMALL ROOMS STEAK & LOBSTER HOUSE,Restaurant,1181 FINCH AVE W	 	NORTH YORK	 	ON M3J 2V8,NORTH YORK,416-665-8228,107,107,0,
SOCCER SPOT RESTAURANT (THE),Restaurant,2849 WESTON ROAD	 	NORTH YORK	 	ON M9M 2S1,NORTH YORK,416-746-3443,34,34,0,
SORENTO CAFE & RESTAURANT,Restaurant,900 DON MILLS ROAD                       STE. 11	 	NORTH YORK	 	ON M3C 1V6,NORTH YORK,416-447-3590,0,0,0,
SOUP KETTLE (THE),Restaurant,40 KODIAK CRES                           UNIT 6	 	NORTH YORK	 	ON M3J 3G5,NORTH YORK,416-638-8351,40,40,0,
SSOOT & SOGEUM,Restaurant,5523 YONGE ST	 	NORTH YORK	 	ON M2N 5S3,NORTH YORK,647-428-7515,40,40,0,
ST. LOUIS BAR & GRILL,Restaurant,5307 YONGE ST	 	NORTH YORK	 	ON M2N 5R4,NORTH YORK,416-226-5988,99,76,23,
ST.LOUIS BAR & GRILL,Restaurant,808 YORK MILLS RD                        UNIT #A-24	 	NORTH YORK	 	ON M3B 1X8,NORTH YORK,416-441-0342,57,45,12,
STAR KARAOKE,Karaoke Bar/Restaurant,5521A YONGE ST	 	NORTH YORK	 	ON M2N 5S3,NORTH YORK,416-250-8808,50,50,0,
STEAK PIT TAVERN,Restaurant,1666 AVENUE ROAD	 	NORTH YORK	 	ON M5M 3Y1,NORTH YORK,416-783-3077,86,86,0,
STEVE'S RESTAURANT,Restaurant,3788 BATHURST ST	 	NORTH YORK	 	ON M3H 3M9,NORTH YORK,416-633-8812,93,62,31,
SUN STAR CHINESE CUISINE,Restaurant,636 FINCH AVE. E	 	NORTH YORK	 	ON M2K 2E6,NORTH YORK,416-844-8489,74,74,0,
SUNRISE RESTAURANT,Restaurant/Bar,73 ALNESS ST                             UNIT #6	 	NORTH YORK	 	ON M3J 2H2,NORTH YORK,416-661-9233,100,100,0,
SUSHI DAYS JAPANESE RESTAURANT INC.,Restaurant,1769 AVENUE ROAD                         CITY OF TORONTO	 	NORTH YORK	 	ON M5M 3Y8,NORTH YORK,416-783-8877,30,30,0,
SUYA SPOT (THE),Restaurant,3212 WESTON ROAD	 	NORTH YORK	 	ON M9M 2T7,NORTH YORK,416-742-7892,27,27,0,
SWISS CHALET ROTISSERIE & GRILL,Restaurant,4211 YONGE ST	 	NORTH YORK	 	ON M2P 2A9,NORTH YORK,416-223-1170,236,236,0,
SWISS CHALET ROTISSERIE & GRILL,Restaurant,950 LAWRENCE AVE W	 	NORTH YORK	 	ON M6A 1C4,NORTH YORK,416-783-8262,280,280,0,
SZECHUAN GOURMET,Restaurant,1033 STEELES AVE. W	 	NORTH YORK	 	ON M2R 2S9,NORTH YORK,416-663-8888,49,49,0,
TAKO SUSHI JAPANESE RESTAURANT,Restaurant,1300 DON MILLS RD	 	NORTH YORK	 	ON M3B 2W6,NORTH YORK,416-391-9188,289,289,0,
TANOOR RESTAURANT,Restaurant,6347 YONGE ST	 	NORTH YORK	 	ON M2M 3X7,NORTH YORK,416-225-2949,140,94,46,
TEKKA JAPANESE RESTAURANT,Restaurant,103 PARKWAY FOREST DRIVE	 	NORTH YORK	 	ON M2J 1L8,NORTH YORK,416-496-2685,60,60,0,
THAI PLATE,Restaurant,3434 BATHURST ST	 	NORTH YORK	 	ON M6A 2C2,NORTH YORK,416-256-7250,59,59,0,
TORONTO CRICKET SKATING & CURLING CLUB,Social Club,141 WILSON AVE.	 	NORTH YORK	 	ON M5M 3A3,NORTH YORK,416-487-4581,2109,1552,557,
TORONTO SOCCERPLEX,Restaurant,101 RAILSIDE ROAD	 	NORTH YORK	 	ON M3A 1B2,NORTH YORK,416-441-4000,364,364,0,
TRUE OASIS RESTAURANT,Restaurant,1025 FINCH AVE W	 	NORTH YORK	 	ON M3J 2C7,NORTH YORK,416-663-0002,143,143,0,
TURKISH GRILL,Restaurant,"861,863 865 WILSON AVE	 	NORTH YORK	 	ON M3K 1E6",NORTH YORK,416-858-7262,30,30,0,
TWISTER KARAOKE,Karaoke Bar/Restaurant,5586 YONGE ST	 	NORTH YORK	 	ON M2N 5S2,NORTH YORK,416-225-2465,72,72,0,
V.I.P. BAR & CAFE,Restaurant,6307 YONGE ST	 	NORTH YORK	 	ON M2M 3X7,NORTH YORK,647-428-7531,120,110,10,
VC'S BAR & GRILL,Restaurant,2520 JANE ST	 	NORTH YORK	 	ON M3L 1S1,NORTH YORK,416-742-4834,92,92,0,
VILLA COLOMBO HOME FOR THE AGED,Restaurant,40 PLAYFAIR AVE.	 	NORTH YORK	 	ON M6B 2P9,NORTH YORK,416-789-2113,1055,755,300,
VINCE'S RESTAURANT (TAKE OUT),Restaurant,555 STEEPROCK DRIVE	 	NORTH YORK	 	ON M3J 2Z6,NORTH YORK,416-636-6146,75,75,0,
VIVA CITY,Restaurant,3820 VICTORIA PARK AVE	 	NORTH YORK	 	ON M2H 3H7,NORTH YORK,416-499-1014,180,144,36,
"WESTIN PRINCE HOTEL, TORONTO.",Hotel/Motel,900 YORK MILLS ROAD	 	NORTH YORK	 	ON M3B 3H2,NORTH YORK,416-444-2511,3085,2799,286,
WIMPY'S DINER,Restaurant,199 SHEPPARD AVE. E.	 	NORTH YORK	 	ON M2N 3A8,NORTH YORK,416-222-7737,56,56,0,
WINFIELD'S RESTAURANT,Restaurant,801 YORK MILLS ROAD	 	NORTH YORK	 	ON M3B 1X7,NORTH YORK,416-445-1630,168,138,30,
YENCHING PALACE RESTAURANT,Restaurant,2901 BAYVIEW AVE.                        BAYVIEW VILLAGE SHOPPING CENTRE	 	NORTH YORK	 	ON M2K 1E6,NORTH YORK,416-226-1222,91,91,0,
YONGE NOREBANG,Restaurant,5582 YONGE ST                            BASEMENT	 	NORTH YORK	 	ON M2N 5S2,NORTH YORK,416-223-5605,73,73,0,
YORK UNIVERSITY STUDENT CENTRE INCORPORATED,Restaurant,335 STUDENT CENTRE                       4700 KEELE STREET	 	NORTH YORK	 	ON M3J 1P3,NORTH YORK,416-736-5658,860,860,0,
YUKI,Restaurant,3259 DUFFERIN ST.	 	NORTH YORK	 	ON M6A 2T2,NORTH YORK,416-781-7032,31,31,0,
YUNGIB BAR AND RESTAURANT,Restaurant,3430 BATHURST ST	 	NORTH YORK	 	ON M6A 2C2,NORTH YORK,416-782-0994,46,46,0,
ADDIS CAFE,Restaurant,3200 DANFORTH AVE                        UNIT 4	 	SCARBOROUGH	 	ON M1L 1B7,SCARBOROUGH,416-693-8722,24,24,0,
ALL STAR BOWL,Bowling Alley,2791 EGLINTON AVE E	 	SCARBOROUGH	 	ON M1J 2E1,SCARBOROUGH,416-261-5011,267,267,0,
ALL-STAR BAR & EATERY,Restaurant,4168 KINGSTON ROAD	 	SCARBOROUGH	 	ON M1E 2M4,SCARBOROUGH,416-284-4001,96,96,0,
ALPINE HOTEL,Hotel/Motel,1102 KINGSTON ROAD	 	SCARBOROUGH	 	ON M1N 1N4,SCARBOROUGH,416-691-4300,479,443,36,
ARK KTV (THE),Karaoke Bar/Restaurant,1001 SANDHURST CIR                       UNIT 1	 	SCARBOROUGH	 	ON M1V 1Z6,SCARBOROUGH,416-298-2168,124,124,0,
ASIAN LEGEND,Restaurant,4452 SHEPPARD AVE E	 	SCARBOROUGH	 	ON M1S 1V2,SCARBOROUGH,416-298-8081,216,216,0,
ASSOCIATION OF THE DANUBE SWABIANS,Restaurant,1686 ELLESMERE RD.	 	SCARBOROUGH	 	ON M1H 2V5,SCARBOROUGH,416-290-6185,519,519,0,
BASHU SICHUAN CUISINE,Restaurant,4771 STEELES AVE E                       A01 & A02	 	SCARBOROUGH	 	ON M1V 4S5,SCARBOROUGH,416-335-0788,149,149,0,
BEAVER AND FIRKIN,Restaurant,16 LEBOVIC DR	 	SCARBOROUGH	 	ON M1L 4V9,SCARBOROUGH,905-305-9792,196,140,56,
BEDROCK BARNY'S GRILL,Restaurant,3855 LAWRENCE AVE.	 	SCARBOROUGH	 	ON M1G 1R2,SCARBOROUGH,416-431-9771,26,26,0,
BEECHGROVE GRILL & BAR (THE),Restaurant,670 CORONATION DRIVE                     UNIT 6	 	SCARBOROUGH	 	ON M1E 4V8,SCARBOROUGH,416-282-7895,40,40,0,
BELFAST INN (THE),Restaurant,2256 KINGSTON ROAD	 	SCARBOROUGH	 	ON M1N 1T9,SCARBOROUGH,416-267-6500,50,50,0,
BENDALE RESTAURANT,Restaurant,3264 LAWRENCE AVE E	 	SCARBOROUGH	 	ON M1H 1A4,SCARBOROUGH,416-438-4949,94,54,40,
BEST FRIENDS CHINESE SEAFOOD RESTAURANT,Restaurant,4810 SHEPPARD AVE E                      UNITS 215-218	 	SCARBOROUGH	 	ON M1S 4N6,SCARBOROUGH,416-335-8836,298,298,0,
BIG PETE'S RESTAURANT & BAR,Restaurant,3406 KINGSTON RD	 	SCARBOROUGH	 	ON M1M 1R2,SCARBOROUGH,416-267-9230,113,93,20,
BLACK FOREST STEAK HOUSE TAVERN,Restaurant,2624 EGLINTON AVE E	 	SCARBOROUGH	 	ON M1K 2S3,SCARBOROUGH,416-261-6781,60,60,0,
BLUFFERS PARK YACHT CLUB,Restaurant,BRIMLEY ROAD                             BLUFFERS PARK	 	SCARBOROUGH	 	ON M1N 3W3,SCARBOROUGH,416-261-6993,204,204,0,
BLUFFERS RESTAURANT,Restaurant,7 BRIMLEY ROAD S	 	SCARBOROUGH	 	ON M1N 4A3,SCARBOROUGH,416-264-2337,540,376,164,
BOSTON PIZZA,Restaurant,400 PROGRESS AVE                         UNIT D-7	 	SCARBOROUGH	 	ON M1P 5J1,SCARBOROUGH,416-290-0029,262,198,64,
BOSTON PIZZA,Restaurant,785 MILNER AVE	 	SCARBOROUGH	 	ON M1B 6H6,SCARBOROUGH,416-282-0770,269,199,70,
BOSTON STEAK HOUSE,Restaurant,4443-45 SHEPPARD AVE. E	 	SCARBOROUGH	 	ON M1S 1V3,SCARBOROUGH,416-298-4903,223,223,0,
BRIGADOON BAR AND RESTAURANT,Restaurant,1109 VICTORIA PARK AVE	 	SCARBOROUGH	 	ON M4B 2K2,SCARBOROUGH,416-752-4971,87,63,24,
BRIMLEY BOWL,Restaurant,2644 EGLINTON AVE E	 	SCARBOROUGH	 	ON M1K 2S3,SCARBOROUGH,416-267-1134,110,110,0,
BUFFS COMPANY ALL RANKS MESS OF THE QUEEN'S OWN RIFLES OF CANADA,Restaurant,37 MID-DOMINION ACRES	 	SCARBOROUGH	 	ON M1S 5K5,SCARBOROUGH,416-954-1614,554,554,0,
BURWELL'S COVE RESTAURANT & BAR,Restaurant,23 COLLINGWOOD ST	 	SCARBOROUGH	 	ON M1S 1A4,SCARBOROUGH,,290,146,144,
BUSTERS BY THE BLUFFS,Bar /Tavern /Nightclub,1539 KINGSTON ROAD	 	SCARBOROUGH	 	ON M1N 1R9,SCARBOROUGH,416-691-1200,60,33,27,
C.E.P. LOCAL 975 EMPLOYEES ASSOCIATION,Restaurant,975 KENNEDY RD	 	SCARBOROUGH	 	ON M1P 2K5,SCARBOROUGH,416-757-3743,322,322,0,
C.J.'S DONUTS & DINER,Restaurant,590 ELLESMERE RD.	 	SCARBOROUGH	 	ON M1R 4E9,SCARBOROUGH,416-297-1300,90,68,22,
CADDY'S,Hotel/Motel,2787 EGLINTON AVE E	 	SCARBOROUGH	 	ON M1J 2E1,SCARBOROUGH,416-266-4600,316,274,42,
CAJUN BAJAN CAFE,Restaurant,133 MANVILLE ROAD                        UNIT 17	 	SCARBOROUGH	 	ON M1L 4J7,SCARBOROUGH,647-436-4641,40,40,0,
CANCEY RESTAURANT,Restaurant,2817 EGLINTON AVE E	 	SCARBOROUGH	 	ON M1J 2E1,SCARBOROUGH,416-265-5555,38,38,0,
CANYON CREEK CHOPHOUSE,Restaurant,430 PROGRESS AVE                         D11	 	SCARBOROUGH	 	ON M1P 5J1,SCARBOROUGH,,383,273,110,
CASA-IMPERIAL FINE CHINESE CUISINE LTD.,Restaurant,4125 STEELES AVE E	 	SCARBOROUGH	 	ON M1W 3T4,SCARBOROUGH,416-756-2788,202,202,0,
CASEY'S BAR.GRILL,Restaurant,37 WILLIAM KITCHEN ROAD                  BUILDING 'L'	 	SCARBOROUGH	 	ON M1P 5B7,SCARBOROUGH,416-412-2078,266,200,66,
CATHEDRAL BLUFFS YACHT CLUB,Restaurant,BRIMLEY ROAD S                           BLUFFERS PARK	 	SCARBOROUGH	 	ON M1M 1N0,SCARBOROUGH,416-261-0537,338,265,73,
CEDAR BRAE GOLF & COUNTRY CLUB,Restaurant,6431 STEELES AVE E	 	SCARBOROUGH	 	ON M1X 1N6,SCARBOROUGH,416-293-4161,1001,849,152,
CENTRAL RESTAURANT,Restaurant,2845 LAWRENCE AVE. E.	 	SCARBOROUGH	 	ON M1P 2S8,SCARBOROUGH,416-264-2020,42,42,0,
CHEERS RESTAURANT,Restaurant,1553 KINGSTON RD	 	SCARBOROUGH	 	ON M1N 1R9,SCARBOROUGH,416-693-2000,69,46,23,
CHINA BUFFET KING,Restaurant,22 METROPOLITAN ROAD	 	SCARBOROUGH	 	ON M1R 2T6,SCARBOROUGH,416-321-6868,486,486,0,
CHINESE BEEF LAMB HOUSE,Restaurant,3591 SHEPPARD AVE E	 	SCARBOROUGH	 	ON M1T 3K8,SCARBOROUGH,416-335-7866,193,193,0,
CHINESE DUMPLINGS HOUSE INC.,Restaurant,4188 FINCH AVE E                         UNIT 12 & 13	 	SCARBOROUGH	 	ON M1S 4T6,SCARBOROUGH,416-299-0322,68,68,0,
CHINESE HUT,Restaurant,1876 KENNEDY ROAD	 	SCARBOROUGH	 	ON M1P 2L8,SCARBOROUGH,416-653-3060,87,87,0,
CHOU'S GARDEN RESTAURANT,Restaurant,30 DEAN PARK ROAD                        UNIT #9	 	SCARBOROUGH	 	ON M1B 3H1,SCARBOROUGH,416-282-5758,56,56,0,
CHUNG MOI CHINESE RESTAURANT,Restaurant,2412 EGLINTON AVE E	 	SCARBOROUGH	 	ON M1K 2P3,SCARBOROUGH,416-755-5293,38,38,0,
CJ'S GRILL,Restaurant,1269 DANFORTH RD                         UNIT #1	 	SCARBOROUGH	 	ON M1J 1E6,SCARBOROUGH,416-266-3337,22,22,0,
CLARENDON WILDFLOWER RESTAURANT AND BAR,Restaurant,462 BIRCHMOUNT ROAD                      UNIT 4A	 	SCARBOROUGH	 	ON M1K 1N8,SCARBOROUGH,416-693-9600,34,34,0,
COALPOT RESTAURANT & BAR,Restaurant,1837 LAWRENCE AVE E	 	SCARBOROUGH	 	ON M1R 2Y3,SCARBOROUGH,416-750-7205,30,30,0,
COSY HUNGARIAN RESTAURANT,Restaurant,24481/2 KINGSTON ROAD	 	SCARBOROUGH	 	ON M1N 1V3,SCARBOROUGH,416-261-2415,39,39,0,
DANNY'S PUB & INTERNATIONAL CUISINE,Restaurant,155 MORNINGSIDE AVE                      UNIT 8	 	SCARBOROUGH	 	ON M1E 3C8,SCARBOROUGH,416-284-1100,28,28,0,
DARLYN'S RESTAURANT,Restaurant,1154 MORNINGSIDE AVE	 	SCARBOROUGH	 	ON M1B 3A4,SCARBOROUGH,416-281-8222,116,116,0,
DENTONIA GOLF COURSE,Restaurant,781 VICTORIA PARK AVE	 	SCARBOROUGH	 	ON M4C 5H2,SCARBOROUGH,416-686-8949,85,49,36,
DIVINE WOK RESTAURANT,Restaurant,2950 BIRCHMOUNT ROAD                     UNIT 12	 	SCARBOROUGH	 	ON M1W 3G5,SCARBOROUGH,416-502-2133,135,135,0,
DOUBLE DOUBLE PIZZA CHICKEN #8,Restaurant,1221 MARKHAM RD                          UNIT 12	 	SCARBOROUGH	 	ON M1H 3E2,SCARBOROUGH,416-431-5205,36,36,0,
DYNASTY RESTAURANT,Restaurant,3210 DANFORTH AVE.	 	SCARBOROUGH	 	ON M1L 1C1,SCARBOROUGH,416-690-4081,35,35,0,
EAST GATE RESTAURANT,Restaurant,2268 KINGSTON ROAD	 	SCARBOROUGH	 	ON M1N 1T9,SCARBOROUGH,416-264-2531,36,36,0,
EASTOWN RESTAURANT AND BANQUET HALL,Restaurant,2648 EGLINTON AVE E	 	SCARBOROUGH	 	ON M1K 2S3,SCARBOROUGH,416-265-3333,459,459,0,
EL PULGARCITO,Restaurant,1210 KENNEDY ROAD	 	SCARBOROUGH	 	ON M1P 2L1,SCARBOROUGH,416-916-7274,54,54,0,
ELLAS HOSPITALITY CENTRE,Restaurant,35 DANFORTH ROAD	 	SCARBOROUGH	 	ON M1L 3W5,SCARBOROUGH,416-694-1194,1207,1087,120,
FISHERMAN VILLA,Restaurant,25 GLEN WATFORD DR	 	SCARBOROUGH	 	ON M1S 2B7,SCARBOROUGH,416-918-2861,149,149,0,
FLIPPER'S FISH HOUSE RESTAURANT,Restaurant,2300 LAWRENCE AVE. E.	 	SCARBOROUGH	 	ON M1P 2R2,SCARBOROUGH,416-759-6671,432,432,0,
FOSSIL & HAGGIS PUB & GRUB (THE),Restaurant,790 MILITARY TRAIL                       UNIT 6	 	SCARBOROUGH	 	ON M1E 4P7,SCARBOROUGH,416-281-6959,208,208,0,
FOTI'S SPORTS BAR,Restaurant,"803,5 BRIMLEY ROAD	 	SCARBOROUGH	 	ON M1J 1C9",SCARBOROUGH,416-269-4555,68,48,20,
FRIENDSHIP RESTAURANT,Restaurant,2912 SHEPPARD AVE E                      UNIT 1	 	SCARBOROUGH	 	ON M1T 3J4,SCARBOROUGH,416-756-3899,76,76,0,
G'S CHILL & GRILL SPORTS BAR,Restaurant,2528 EGLINTON AVE E	 	SCARBOROUGH	 	ON M1K 2R5,SCARBOROUGH,416-358-3250,35,35,0,
GIGO'S RESTAURANT,Restaurant,1939 KENNEDY RD	 	SCARBOROUGH	 	ON M1P 2L9,SCARBOROUGH,647-351-6333,69,69,0,
GLASGOW CELTIC SUPPORTERS CLUB TORONTO,Restaurant,2220 MIDLAND AVE.                        #27	 	SCARBOROUGH	 	ON M1P 3E6,SCARBOROUGH,416-609-8819,135,135,0,
GLASGOW RANGERS FOOTBALL CLUB SUPPORTERS CLUB,Restaurant,1950 ELLESMERE ROAD                      UNIT 7	 	SCARBOROUGH	 	ON M1H 2V8,SCARBOROUGH,416-439-0650,145,145,0,
GOLDEN HOUSE RESTAURANT,Restaurant,257 ELLESMERE ROAD	 	SCARBOROUGH	 	ON M1R 4E4,SCARBOROUGH,416-443-8822,40,40,0,
GOOD DEAL SUPER BUFFET,Restaurant,1221 MARKHAM RD.                         MARKHAM-ELLESMERE SHOPPING CENTRE	 	SCARBOROUGH	 	ON M1H 3E2,SCARBOROUGH,647-988-9018,0,0,0,
GOOD LUCK CHINESE RESTAURANT,Restaurant,2432 EGLINTON AVE. E                     UNIT 2	 	SCARBOROUGH	 	ON M1K 2P8,SCARBOROUGH,416-285-1818,34,34,0,
GREEN TEA RESTAURANT,Restaurant,111 ISLAND RD                            UNIT 9	 	SCARBOROUGH	 	ON M1C 2P7,SCARBOROUGH,416-282-9723,40,40,0,
HAPPYLAND PUB & FAST FOOD,Bar/Sports Bar,1347 DANFORTH ROAD	 	SCARBOROUGH	 	ON M1J 1G7,SCARBOROUGH,416-414-5562,39,39,0,
HARMONY SINGLES CLUB,Restaurant,231 MILNER AVE	 	SCARBOROUGH	 	ON M1S 5E3,SCARBOROUGH,416-562-7801,556,556,0,
HIGHLAND FISH & CHIP RESTAURANT,Restaurant,3357 ELLESMERE ROAD	 	SCARBOROUGH	 	ON M1C 1H1,SCARBOROUGH,416-282-2889,68,68,0,
HOME BURGER RESTAURANT,Restaurant,1 CENTRE ST	 	SCARBOROUGH	 	ON M1J 3B4,SCARBOROUGH,416-266-9289,20,20,0,
HOT PARTY RESTAURANT,Restaurant,3290 MIDLAND AVE.                        UNIT #1	 	SCARBOROUGH	 	ON M1V 3Z9,SCARBOROUGH,416-754-8810,64,64,0,
HOUSE OF WONG,Restaurant,4601 KINGSTON ROAD                       UNIT 1	 	SCARBOROUGH	 	ON M1E 2P3,SCARBOROUGH,416-282-1171,74,74,0,
HUNTER'S PIZZA & BURGERS RESTAURANT,Restaurant,2574 BIRCHMOUNT ROAD	 	SCARBOROUGH	 	ON M1T 2M5,SCARBOROUGH,416-291-6340,64,64,0,
J & D HAMBURGERS & FISH & CHIPS,Restaurant,3244 DANFORTH AVE.	 	SCARBOROUGH	 	ON M1L 1C2,SCARBOROUGH,416-686-4567,28,28,0,
J & SOPHIE'S PLACE,Restaurant,2623 LAWRENCE AVE E	 	SCARBOROUGH	 	ON M1P 2S2,SCARBOROUGH,416-757-5494,39,39,0,
JACK'S RESTAURANT & BAR,Restaurant,1197A BIRCHMOUNT ROAD	 	SCARBOROUGH	 	ON M1P 2C1,SCARBOROUGH,416-752-0726,42,42,0,
JALANDHAR MEAT SHOP & TANDOORI,Restaurant,3300 MCNICOLL AVE                        UNIT A15	 	SCARBOROUGH	 	ON M1V 5J6,SCARBOROUGH,416-666-6048,10,10,0,
JAVA DINER BAR & GRILL,Restaurant,1570 MIDLAND AVE                         UNIT 1	 	SCARBOROUGH	 	ON M1P 3C3,SCARBOROUGH,416-755-1552,41,41,0,
JESSIE'S CAFE,Restaurant,1423 KINGSTON ROAD	 	SCARBOROUGH	 	ON M1N 1R4,SCARBOROUGH,416-693-6509,70,70,0,
JIUPINXIANG CHINESE RESTAURANT,Restaurant,3330 PHARMACY AVE                        UNITS G & H	 	SCARBOROUGH	 	ON M1W 3V8,SCARBOROUGH,416-491-8222,120,120,0,
JOY FORTUNE CHINESE CUISINE,Restaurant,3453 VICTORIA PARK AVE                   UNIT #1	 	SCARBOROUGH	 	ON M1W 2S6,SCARBOROUGH,416-492-8823,133,133,0,
K.C. MCFLY'S RESTAURANT,Restaurant,1717 VICTORIA PARK AVE                   SURREY SHOPPING CENTRE	 	SCARBOROUGH	 	ON M1R 1R7,SCARBOROUGH,416-750-4335,101,72,29,
KEG (THE),Restaurant,60 ESTATE DRIVE	 	SCARBOROUGH	 	ON M1H 2Z1,SCARBOROUGH,416-438-1452,285,285,0,
KELLY'S KORNER,Restaurant/Bar,3045 KINGSTON RD                         UNIT # 34	 	SCARBOROUGH	 	ON M1M 1P1,SCARBOROUGH,416-274-2905,48,38,10,
KELSEY'S RESTAURANT,Restaurant,1215 MCCOWAN ROAD	 	SCARBOROUGH	 	ON M1H 3K3,SCARBOROUGH,416-296-0144,268,228,40,
KELSEY'S RESTAURANT,Restaurant,50 CINEMART DRIVE	 	SCARBOROUGH	 	ON M1B 3C3,SCARBOROUGH,416-283-2937,199,163,36,
KENNEDY BOWL,Restaurant,2300 LAWRENCE AVE E	 	SCARBOROUGH	 	ON M1P 2R2,SCARBOROUGH,416-759-6181,184,184,0,
KING STATION PUB,Restaurant,4528 KINGSTON ROAD                       UNIT 1	 	SCARBOROUGH	 	ON M1E 2N8,SCARBOROUGH,416-284-1222,70,70,0,
KINGSTON ROAD PUB & GRILL,Restaurant,2761 KINGSTON ROAD	 	SCARBOROUGH	 	ON M1M 1M8,SCARBOROUGH,416-261-3513,61,61,0,
